,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,A0,0.0,True,False,True,2.38,2.39,2.399999999999993,25.49,23.09,0.02
1,A1,1.0,True,False,True,3.06,3.06,3.0699999999999785,16.38,13.31,0.01
2,A2,2.0,True,False,True,3.57,3.58,3.5899999999999674,11.45,7.86,0.02
3,B0,3.0,True,False,True,3.58,3.58,3.5899999999999674,41.36,37.77,0.01
4,B1,2.0,True,False,True,4.59,11.45,11.458174755457772,29.96,18.5,6.87
5,C0,1.0,True,False,True,4.77,16.39,16.39498579005546,23.49,7.1,11.63
6,A3,1.0,True,False,True,5.18,23.5,23.501449363053265,25.61,2.11,18.33
7,B2,0.0,True,False,True,5.36,25.5,25.50259872267856,26.37,0.86,20.14
8,D0,1.0,True,False,True,5.96,25.62,25.623426073791027,56.69,31.07,19.66
9,C1,0.0,True,False,True,6.12,26.37,26.37618497755098,42.78,16.4,20.26
10,C2,2.0,True,False,True,7.15,29.96,29.96848476752947,37.35,7.38,22.82
11,D1,2.0,True,False,True,7.65,37.35,37.35686052495177,141.26,103.91,29.71
12,A4,3.0,True,False,True,7.72,41.36,41.3675779081386,57.11,15.74,33.65
13,B3,0.0,True,False,True,7.76,42.79,42.79013646749575,144.1,101.31,35.03
14,A5,1.0,True,False,True,8.82,56.7,56.70373890525868,65.23,8.52,47.89
15,D2,3.0,True,False,True,8.93,57.11,57.11633653739484,85.61,28.49,48.18
16,C3,1.0,True,False,True,10.35,65.23,65.23807229910781,121.31,56.08,54.89
17,B4,3.0,True,False,True,11.58,85.61,85.61788018158175,109.55,23.93,74.04
18,D3,3.0,True,False,True,12.94,109.55,109.55612006157752,133.92,24.36,96.62
19,B5,1.0,True,False,True,13.23,121.32,121.32397843297572,122.84,1.52,108.1
20,C4,1.0,True,False,True,15.44,122.85,122.85267406851065,141.13,18.28,107.42
21,A6,3.0,True,False,True,16.72,133.92,133.92649385516233,143.85,9.92,117.21
22,C5,1.0,True,False,True,17.64,141.14,141.1417814862605,150.99,9.85,123.5
23,A7,2.0,True,False,True,19.03,141.27,141.27481407781804,148.71,7.44,122.25
24,D4,3.0,True,False,True,19.3,143.85,143.85838067132062,143.98,0.12,124.56
25,A8,3.0,True,False,True,20.34,143.99,143.9925373012267,153.79,9.79,123.65
26,A9,0.0,True,False,True,21.34,144.11,144.114734346398,160.35,16.23,122.78
27,D5,2.0,True,False,True,22.05,148.72,148.72083928350062,171.73,23.0,126.67
28,A10,1.0,True,False,True,22.18,150.99,150.99865539753455,151.28,0.28,128.82
29,A11,1.0,True,False,True,24.79,151.29,151.29355104709015,188.92,37.63,126.5
30,B6,3.0,True,False,True,25.08,153.79,153.7967140155493,180.85,27.06,128.72
31,A12,0.0,True,False,True,25.94,160.35,160.3570246583107,211.36,51.0,134.41
32,A13,2.0,True,False,True,26.07,171.73,171.73566841931952,187.73,15.99,145.67
33,A14,3.0,True,False,True,27.08,180.86,180.8630427025391,187.1,6.24,153.78
34,B7,3.0,True,False,True,28.54,187.11,187.11311497260618,199.0,11.89,158.57
35,A15,2.0,True,False,True,29.76,187.73,187.73937800812837,280.33,92.59,157.98
36,A16,1.0,True,False,True,30.16,188.93,188.9346520649457,198.6,9.66,158.77
37,B8,1.0,True,False,True,30.51,198.6,198.60866762098445,202.25,3.65,168.1
38,A17,3.0,True,False,True,30.55,199.0,199.00834512759,222.67,23.66,168.46
39,B9,1.0,True,False,True,32.01,202.26,202.2637789540624,223.0,20.73,170.26
40,A18,0.0,True,False,True,32.07,211.36,211.36741595247264,234.79,23.42,179.3
41,B10,3.0,True,False,True,33.27,222.67,222.679238092103,255.14,32.46,189.41
42,C6,1.0,True,False,True,33.44,223.0,223.00738018000732,304.05,81.04,189.57
43,A19,0.0,True,False,True,33.58,234.79,234.79801434876225,246.19,11.39,201.21
44,A20,0.0,True,False,True,35.6,246.2,246.20216235983168,250.64,4.44,210.61
45,B11,0.0,True,False,True,37.18,250.65,250.6539983851122,278.46,27.8,213.47
46,C7,3.0,True,False,True,38.06,255.15,255.15364773398554,266.48,11.32,217.09
47,B12,3.0,True,False,True,38.92,266.48,266.4853465269621,273.59,7.11,227.57
48,B13,3.0,True,False,True,39.1,273.6,273.60464058312635,292.21,18.6,234.5
49,A21,0.0,True,False,True,39.38,278.46,278.46605884251363,346.44,67.97,239.08
50,B14,2.0,True,False,True,40.62,280.33,280.336586942556,299.62,19.29,239.71
51,C8,3.0,True,False,True,40.68,292.21,292.21861247197177,364.36,72.14,251.54
52,D6,2.0,True,False,True,41.8,299.63,299.63314136938584,391.69,92.05,257.83
53,A22,1.0,True,False,True,41.96,304.06,304.06078339759904,305.38,1.32,262.1
54,C9,1.0,True,False,True,42.67,305.38,305.3869749682005,306.72,1.33,262.71
55,A23,1.0,True,False,True,43.85,306.72,306.72864075783707,320.01,13.28,262.88
56,C10,1.0,True,False,True,44.35,320.01,320.01621063465007,356.86,36.84,275.66
57,B15,0.0,True,False,True,44.64,346.44,346.4477004658246,377.99,31.54,301.81
58,B16,1.0,True,False,True,45.25,356.86,356.8654739621529,368.02,11.15,311.62
59,B17,3.0,True,False,True,45.82,364.37,364.372018534996,404.33,39.95,318.55
60,A24,1.0,True,False,True,46.41,368.02,368.0274703827962,373.02,4.99,321.61
61,A25,1.0,True,False,True,47.19,373.02,373.0254424988012,379.99,6.96,325.83
62,D7,0.0,True,False,True,47.57,377.99,377.9980453715854,385.76,7.76,330.42
63,A26,1.0,True,False,True,48.09,379.99,379.9975105439246,415.26,35.27,331.91
64,B18,0.0,True,False,True,48.1,385.76,385.76603647534625,410.48,24.72,337.67
65,A27,2.0,True,False,True,48.61,391.69,391.6974641834663,400.85,9.15,343.09
66,A28,2.0,True,False,True,49.3,400.86,400.8615536963527,402.6,1.74,351.56
67,C11,2.0,True,False,True,49.58,402.61,402.612107123357,422.46,19.84,353.03
68,B19,3.0,True,False,True,50.38,404.33,404.3361353057432,405.31,0.98,353.96
69,D8,3.0,True,False,True,50.85,405.32,405.32327514528373,407.2,1.88,354.47
