,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,D0,4,True,False,True,5.96,5.97,5.979999999999917,37.05,31.07,0.02
1,D1,5,True,False,True,7.65,7.65,14.538375757422191,118.45,103.91,6.89
2,D2,7,True,False,True,8.93,8.94,17.354333393848982,45.85,28.49,8.42
3,D3,9,True,False,True,12.94,12.95,12.959999999999768,37.32,24.36,0.02
4,D4,12,True,False,True,19.3,19.3,19.31000000000022,19.43,0.12,0.01
5,D5,14,True,False,True,22.05,22.05,22.06000000000065,45.06,23.0,0.01
6,D6,26,True,False,True,41.8,41.81,112.84340606302474,204.9,92.05,71.04
7,D7,31,True,False,True,47.57,47.58,54.17206804512258,61.93,7.76,6.6
8,D8,35,True,False,True,50.85,50.86,50.86999999999845,52.75,1.88,0.02
9,D9,38,True,False,True,53.34,53.35,53.35999999999795,71.68,18.32,0.02
10,D10,15,True,False,True,55.44,55.45,89.48742970484648,105.83,16.35,34.04
11,D11,30,True,False,True,61.97,61.98,90.78208888675167,159.06,68.28,28.81
12,D12,38,True,False,True,64.86,64.86,91.45023286658108,92.4,0.95,26.59
13,D13,8,True,False,True,65.17,65.17,112.87793227055447,201.57,88.69,47.71
14,D14,25,True,False,True,67.7,67.71,138.7960733969975,178.88,40.08,71.09
15,D15,36,True,False,True,74.4,74.41,129.2398698386088,211.55,82.31,54.84
16,D16,16,True,False,True,75.41,75.41,113.47548846259639,146.29,32.82,38.07
17,D17,18,True,False,True,76.37,76.38,194.72197129316265,253.36,58.63,118.35
18,D18,26,True,False,True,80.17,80.17,333.5656413967505,347.91,14.34,253.4
19,D19,12,True,False,True,83.96,83.96,83.9641566299121,99.06,15.09,0.0
20,D20,25,True,False,True,88.99,89.0,265.2123837030652,282.55,17.34,176.22
21,D21,3,True,False,True,98.46,98.46,104.18892293711974,153.51,49.32,5.73
22,D22,38,True,False,True,104.9,104.91,104.91660483015548,121.09,16.17,0.01
23,D23,31,True,False,True,109.62,109.63,109.63238786260605,119.36,9.73,0.01
24,D24,22,True,False,True,116.03,116.04,116.04987407808028,213.43,97.38,0.02
25,D25,0,True,False,True,117.98,117.99,117.99758451275665,201.72,83.72,0.02
26,D26,31,True,False,True,120.23,120.23,203.8157995195891,218.87,15.05,83.59
27,D27,34,True,False,True,121.52,121.53,121.53459148995323,156.86,35.33,0.01
28,D28,12,True,False,True,123.26,123.27,131.02792519591688,142.26,11.23,7.77
29,D29,2,True,False,True,128.25,128.25,141.75827761159675,149.86,8.1,13.51
30,D30,38,True,False,True,128.73,128.73,131.68470548022495,146.07,14.39,2.95
31,D31,17,True,False,True,131.57,131.58,175.27239237881224,189.17,13.9,43.7
32,D32,2,True,False,True,134.39,134.4,149.8571136336351,224.92,75.07,15.47
33,D33,1,True,False,True,137.79,137.8,137.80575266361728,198.43,60.62,0.01
34,D34,20,True,False,True,140.57,140.57,142.15033998841207,185.54,43.39,1.58
35,D35,20,True,False,True,142.44,142.44,185.53897112461846,297.91,112.37,43.1
36,D36,14,True,False,True,145.22,145.22,217.23381641798244,236.5,19.27,72.02
37,D37,38,True,False,True,156.41,156.42,229.85333603661806,239.72,9.86,73.44
38,D38,15,True,False,True,170.84,170.84,176.7814780862558,181.16,4.38,5.94
39,D39,10,True,False,True,174.32,174.33,216.2867730299452,228.85,12.57,41.96
40,D40,11,True,False,True,179.21,179.22,211.41483804549952,216.92,5.51,32.2
41,D41,11,True,False,True,179.83,179.83,217.546011691854,220.94,3.39,37.72
42,D42,11,True,False,True,181.73,181.74,254.2323521686344,286.64,32.41,72.5
43,D43,9,True,False,True,184.41,184.42,314.42330717883704,330.31,15.89,130.01
44,D44,1,True,False,True,194.48,194.48,271.26332480851346,300.44,29.17,76.79
45,D45,1,True,False,True,195.92,195.92,300.4360271662782,307.89,7.45,104.52
46,D46,4,True,False,True,199.22,199.22,261.80809396558783,301.45,39.64,62.59
47,D47,16,True,False,True,220.4,220.41,242.54778039034684,251.06,8.52,22.14
48,D48,19,True,False,True,224.07,224.07,224.07668547704634,235.51,11.43,0.01
49,D49,30,True,False,True,228.81,228.82,293.7448302423424,341.25,47.5,64.93
50,D50,32,True,False,True,229.46,229.46,293.23073813769014,322.02,28.79,63.77
51,D51,36,True,False,True,238.21,238.22,340.5366375233801,354.84,14.31,102.33
52,D52,3,True,False,True,242.83,242.83,242.83641653285855,270.31,27.48,0.01
53,D53,33,True,False,True,246.77,246.77,289.0946696782553,330.64,41.55,42.33
54,D54,28,True,False,True,248.87,248.87,248.87977644876946,334.21,85.33,0.01
55,D55,27,True,False,True,250.68,250.68,250.6842862592182,281.18,30.5,0.0
56,D56,14,True,False,True,253.38,253.38,253.388743332398,262.68,9.29,0.01
57,D57,39,True,False,True,259.09,259.1,259.10672029858756,307.29,48.18,0.01
58,D58,6,True,False,True,269.51,269.52,281.4789057069903,334.25,52.77,11.97
59,D59,37,True,False,True,273.08,273.09,273.0903078195765,280.94,7.85,0.01
60,D60,37,True,False,True,278.61,278.62,435.9092187098671,496.19,60.28,157.29
61,D61,10,True,False,True,283.02,283.03,283.0343749117893,304.98,21.94,0.01
62,D62,27,True,False,True,287.93,287.93,287.9364192134429,341.03,53.09,0.01
63,D63,25,True,False,True,293.54,293.55,310.66188723047725,320.18,9.51,17.12
64,D64,16,True,False,True,302.78,302.78,529.4342624685027,543.62,14.19,226.66
65,D65,33,True,False,True,303.21,303.22,342.92285311284775,450.73,107.81,39.71
66,D66,17,True,False,True,310.42,310.43,310.43923658439564,348.07,37.63,0.01
67,D67,39,True,False,True,311.82,311.83,311.83662637444644,363.85,52.01,0.02
68,D68,17,True,False,True,312.9,312.91,348.0674459272968,388.98,40.91,35.17
69,D69,2,True,False,True,317.15,317.15,317.15467699974687,325.17,8.02,0.01
70,D70,2,True,False,True,317.65,317.66,325.1735620432166,347.5,22.32,7.52
71,D71,2,True,False,True,328.48,328.49,347.4956196896076,405.58,58.08,19.01
72,D72,18,True,False,True,333.41,333.42,370.53664690751754,409.98,39.44,37.12
73,D73,1,True,False,True,339.84,339.85,421.50463896738466,421.72,0.21,81.66
74,D74,3,True,False,True,339.92,339.93,339.9368410030654,343.15,3.21,0.01
75,D75,7,True,False,True,344.43,344.44,473.0254216306335,487.97,14.94,128.59
76,D76,8,True,False,True,348.5,348.51,440.09196189563556,541.46,101.37,91.59
77,D77,8,True,False,True,349.37,349.38,579.2368673294126,602.94,23.71,229.87
78,D78,8,True,False,True,350.2,350.2,606.0202239742222,617.07,11.05,255.82
79,D79,24,True,False,True,356.15,356.15,356.1509637815849,371.83,15.68,0.01
80,D80,22,True,False,True,358.06,358.07,358.07004028253095,366.37,8.3,0.01
81,D81,22,True,False,True,363.95,363.96,722.0551115983565,741.24,19.19,358.1
82,D82,29,True,False,True,367.99,368.0,485.4879524793141,494.12,8.63,117.49
83,D83,3,True,False,True,370.46,370.46,370.468212227147,436.05,65.59,0.01
84,D84,0,True,False,True,383.42,383.42,443.8161213097299,465.2,21.38,60.4
85,D85,31,True,False,True,392.63,392.64,392.64366475865864,404.16,11.52,0.01
86,D86,13,True,False,True,394.84,394.85,395.6185005101523,490.41,94.79,0.77
87,D87,33,True,False,True,395.07,395.07,450.7316636918861,463.97,13.24,55.67
88,D88,25,True,False,True,396.88,396.89,501.7841382265115,586.16,84.38,104.9
89,D89,31,True,False,True,399.42,399.43,404.16047635079207,405.72,1.56,4.74
90,D90,12,True,False,True,405.53,405.53,405.5382299404683,448.63,43.09,0.01
91,D91,34,True,False,True,432.39,432.39,432.3964234537128,455.6,23.21,0.01
92,D92,34,True,False,True,434.59,434.59,455.60461629539446,476.21,20.61,21.02
93,D93,14,True,False,True,441.78,441.78,483.94098293943483,485.24,1.3,42.16
94,D94,30,True,False,True,446.28,446.28,488.42843197660085,489.89,1.46,42.15
95,D95,15,True,False,True,452.16,452.16,452.16937188604976,466.37,14.2,0.01
96,D96,14,True,False,True,452.98,452.98,485.2392096092433,588.39,103.15,32.26
97,D97,27,True,False,True,455.52,455.53,455.535419195066,489.27,33.73,0.01
98,D98,18,True,False,True,456.9,456.91,501.780785574298,517.93,16.15,44.88
99,D99,9,True,False,True,459.0,459.01,490.06601208562086,523.28,33.22,31.06
100,D100,11,True,False,True,462.6,462.61,518.8085174971471,526.91,8.1,56.21
101,D101,0,True,False,True,468.1,468.1,545.7061828812341,552.04,6.33,77.61
102,D102,16,True,False,True,468.66,468.66,559.7316330014283,575.49,15.76,91.08
103,D103,16,True,False,True,469.36,469.36,575.4906020886076,645.33,69.84,106.13
104,D104,16,True,False,True,471.3,471.3,669.7984603004636,694.79,24.99,198.5
105,D105,19,True,False,True,476.72,476.72,476.7213459729932,489.08,12.36,0.0
106,D106,14,True,False,True,486.09,486.09,588.3873283034557,693.68,105.29,102.3
107,D107,28,True,False,True,490.12,490.12,510.6282126700412,570.02,59.39,20.51
108,D108,20,True,False,True,499.75,499.76,499.76016111094816,513.45,13.69,0.01
109,D109,18,True,False,True,502.18,502.19,517.9299465199445,643.51,125.58,15.75
110,D110,39,True,False,True,504.09,504.09,608.7043158673644,762.04,153.34,104.62
111,D111,6,True,False,True,506.27,506.28,547.9993007166817,566.43,18.43,41.73
112,D112,0,True,False,True,507.21,507.22,552.0361172512856,589.47,37.43,44.82
113,D113,23,True,False,True,516.05,516.05,516.0504492539188,534.31,18.26,0.01
114,D114,23,True,False,True,518.11,518.12,621.6259904218888,632.07,10.44,103.51
115,D115,35,True,False,True,522.13,522.14,522.1411233843137,525.17,3.03,0.01
116,D116,35,True,False,True,526.45,526.46,539.3259491261202,550.06,10.74,12.87
117,D117,26,True,False,True,530.14,530.14,550.2272263082259,561.34,11.11,20.09
118,D118,37,True,False,True,530.15,530.16,609.0413318597516,626.89,17.84,78.89
119,D119,0,True,False,True,552.41,552.42,589.4708578995229,596.64,7.17,37.06
120,D120,38,True,False,True,564.2,564.2,745.7263214963641,853.63,107.9,181.53
121,D121,4,True,False,True,565.36,565.37,656.2716521861075,660.08,3.81,90.91
122,D122,38,True,False,True,567.09,567.1,884.5805047149718,919.02,34.43,317.49
123,D123,31,True,False,True,570.76,570.77,669.107551534801,689.56,20.45,98.35
124,D124,27,True,False,True,582.37,582.38,583.7961552376433,603.12,19.33,1.42
125,D125,7,True,False,True,602.93,602.94,656.691509369701,673.01,16.32,53.76
126,D126,15,True,False,True,604.42,604.43,628.2392658322794,699.37,71.13,23.82
127,D127,33,True,False,True,608.58,608.58,633.7089892058865,645.26,11.55,25.13
128,D128,10,True,False,True,616.8,616.81,616.8131599251791,617.54,0.73,0.01
129,D129,27,True,False,True,619.31,619.31,620.7732150771882,708.57,87.8,1.46
130,D130,21,True,False,True,625.88,625.88,705.9931135440312,776.12,70.13,80.12
131,D131,21,True,False,True,626.75,626.76,799.3165090759013,810.69,11.38,172.56
132,D132,29,True,False,True,631.34,631.35,633.1024633638308,659.11,26.01,1.76
133,D133,12,True,False,True,641.39,641.39,703.9325514238496,707.99,4.05,62.54
134,D134,30,True,False,True,661.92,661.92,791.2566274281774,794.7,3.44,129.34
135,D135,26,True,False,True,662.33,662.34,691.8570896816798,755.61,63.75,29.53
136,D136,8,True,False,True,665.13,665.13,675.2550430633744,693.78,18.53,10.13
137,D137,35,True,False,True,666.27,666.28,666.2815503395482,704.31,38.03,0.01
138,D138,29,True,False,True,669.27,669.27,669.2758271821311,769.92,100.64,0.01
139,D139,4,True,False,True,673.23,673.24,701.3430596750879,711.21,9.87,28.11
140,D140,20,True,False,True,673.72,673.73,673.7394820976896,674.2,0.46,0.02
141,D141,20,True,False,True,675.48,675.49,675.4942957512563,676.35,0.86,0.01
142,D142,6,True,False,True,688.61,688.62,704.0159657888664,747.38,43.36,15.4
143,D143,5,True,False,True,692.82,692.82,708.8191678921049,799.5,90.68,16.0
144,D144,16,True,False,True,695.88,695.88,849.8434962478323,871.94,22.1,153.97
145,D145,26,True,False,True,702.88,702.88,860.7388659789372,877.24,16.5,157.86
146,D146,3,True,False,True,709.65,709.66,728.8848522412195,756.35,27.47,19.23
147,D147,37,True,False,True,709.9,709.9,709.9072196204725,778.62,68.72,0.01
148,D148,4,True,False,True,716.07,716.07,799.7930881024855,836.85,37.05,83.73
149,D149,20,True,False,True,725.21,725.21,763.9981161567495,773.3,9.31,38.79
