,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,C0,2,True,False,True,4.77,4.77,23.100310012071645,30.2,7.1,18.33
1,C1,1,True,False,True,6.12,6.12,49.215752663596405,65.62,16.4,43.1
2,C2,2,True,False,True,7.15,7.15,30.19677358506945,37.58,7.38,23.05
3,C3,2,True,False,True,10.35,10.36,138.889747221394,194.97,56.08,128.54
4,C4,2,True,False,True,15.44,15.44,219.32602714884675,237.61,18.28,203.89
5,C5,0,True,False,True,17.64,17.64,207.7571198064478,217.6,9.85,190.12
6,C6,3,True,False,True,33.44,33.45,310.7643830575876,391.81,81.04,277.32
7,C7,2,True,False,True,38.06,38.06,266.51438014722686,277.84,11.32,228.45
8,C8,3,True,False,True,40.68,40.69,419.60984673258076,491.75,72.14,378.93
9,C9,3,True,False,True,42.67,42.68,491.753252795605,493.08,1.33,449.08
10,C10,3,True,False,True,44.35,44.36,506.36248846205456,543.2,36.84,462.01
11,C11,1,True,False,True,49.58,49.58,165.48546992514738,185.33,19.84,115.91
12,C12,0,True,False,True,51.89,51.89,351.8390323720448,369.46,17.62,299.95
13,C13,3,True,False,True,52.13,52.14,630.8123710240752,631.92,1.11,578.68
14,C14,2,True,False,True,54.16,54.17,553.3058887596661,554.55,1.25,499.14
15,C15,3,True,False,True,59.52,59.53,678.8077391217387,690.95,12.14,619.29
16,C16,2,True,False,True,60.33,60.33,556.2456202399753,644.44,88.19,495.92
17,C17,0,True,False,True,61.1,61.1,401.40798042526046,430.25,28.84,340.31
18,C18,3,True,False,True,64.13,64.14,759.2256710897694,773.03,13.81,695.09
19,C19,1,True,False,True,67.17,67.17,394.9184102412836,423.32,28.4,327.75
20,C20,0,True,False,True,71.19,71.2,466.55947514803484,473.48,6.93,395.37
21,C21,1,True,False,True,78.77,78.77,589.9832341714874,595.4,5.41,511.22
22,C22,1,True,False,True,83.92,83.93,596.3480561658931,609.82,13.47,512.43
23,C23,2,True,False,True,87.7,87.7,912.9018786374951,972.61,59.71,825.2
24,C24,0,True,False,True,92.83,92.83,607.4093689311375,628.77,21.36,514.58
25,C25,3,True,False,True,94.39,94.39,921.2369016667362,931.8,10.57,826.85
26,C26,3,True,False,True,96.18,96.19,949.3527341237162,1039.38,90.02,853.17
27,C27,1,True,False,True,97.22,97.22,761.6358259651953,812.41,50.78,664.42
28,C28,0,True,False,True,98.61,98.61,628.7732589728531,640.47,11.7,530.16
29,C29,1,True,False,True,102.6,102.6,817.8975545534945,925.27,107.37,715.3
30,C30,3,True,False,True,102.98,102.99,1139.8879500926862,1270.99,131.11,1036.9
31,C31,3,True,False,True,105.26,105.26,1270.9934956702593,1286.75,15.76,1165.74
32,C32,2,True,False,True,107.51,107.52,1056.7405721472946,1088.75,32.01,949.23
33,C33,1,True,False,True,110.24,110.24,961.1722215857247,976.78,15.61,850.94
34,C34,3,True,False,True,112.45,112.46,1327.8486763572444,1336.77,8.93,1215.39
35,C35,3,True,False,True,113.95,113.96,1336.7745120922639,1339.36,2.59,1222.82
36,C36,3,True,True,False,116.17,116.18,1436.7410440469278,,9.18,1323.83
37,C37,3,True,False,False,125.13,125.13,,,9.5,1314.87
38,C38,1,True,False,True,136.67,136.68,1381.1799012126467,1396.44,15.26,1244.51
39,C39,1,True,False,False,139.46,139.46,,,6.13,1300.54
40,C40,2,True,True,False,143.37,143.37,1357.094500336028,,92.26,1296.63
41,C41,1,True,False,False,143.86,143.87,,,3.26,1296.14
42,C42,0,True,False,True,145.39,145.39,735.3664944919112,764.81,29.44,589.98
43,C43,0,True,False,True,147.53,147.54,765.2071363960255,782.69,17.49,617.68
44,C44,0,True,False,True,155.58,155.59,802.0366048769732,818.56,16.52,646.46
45,C45,0,True,False,True,156.73,156.74,818.5609423054225,832.52,13.96,661.83
46,C46,2,True,False,False,159.37,159.38,,,60.82,1280.63
47,C47,0,True,False,True,176.32,176.33,869.3311024261396,879.21,9.88,693.01
48,C48,1,True,False,False,179.25,179.26,,,0.62,1260.75
49,C49,1,True,False,False,183.05,183.06,,,75.07,1256.95
50,C50,3,True,False,False,183.57,183.57,,,59.96,1256.43
51,C51,1,True,False,False,190.57,190.57,,,9.73,1249.43
52,C52,1,True,False,False,194.26,194.27,,,22.24,1245.74
53,C53,1,True,False,False,197.41,197.42,,,3.47,1242.59
54,C54,0,True,False,True,199.09,199.1,1016.4584979896498,1019.4,2.94,817.37
55,C55,3,True,False,False,200.54,200.55,,,54.51,1239.46
56,C56,1,True,False,False,202.7,202.71,,,15.84,1237.3
57,C57,0,True,False,True,207.28,207.28,1204.719348024096,1237.24,32.52,997.44
58,C58,2,True,False,False,215.61,215.61,,,86.05,1224.39
59,C59,0,True,False,True,218.47,218.47,1422.4580791264195,1430.89,8.44,1203.99
60,C60,2,True,False,False,222.89,222.9,,,0.4,1217.11
61,C61,2,True,False,False,226.42,226.42,,,0.73,1213.58
62,C62,3,True,False,False,230.34,230.35,,,37.07,1209.66
63,C63,3,True,False,False,234.83,234.84,,,77.53,1205.17
64,C64,0,True,False,False,242.22,242.23,,,18.9,1197.78
65,C65,2,True,False,False,242.57,242.57,,,14.11,1197.43
66,C66,2,True,False,False,248.34,248.34,,,23.48,1191.66
67,C67,2,True,False,False,249.46,249.46,,,58.75,1190.54
68,C68,3,True,False,False,250.32,250.33,,,31.68,1189.68
69,C69,0,True,False,False,253.72,253.72,,,7.96,1186.28
70,C70,2,True,False,False,254.12,254.13,,,44.69,1185.88
71,C71,2,True,False,False,262.78,262.79,,,4.34,1177.22
72,C72,2,True,False,False,266.73,266.74,,,5.43,1173.27
73,C73,2,True,False,False,271.87,271.88,,,28.46,1168.13
74,C74,2,True,False,False,271.94,271.94,,,8.19,1168.06
75,C75,2,True,False,False,275.55,275.55,,,36.6,1164.45
76,C76,3,True,False,False,278.8,278.81,,,12.9,1161.2
77,C77,2,True,False,False,279.5,279.5,,,9.75,1160.5
78,C78,0,True,False,False,280.16,280.16,,,204.88,1159.84
79,C79,0,True,False,False,284.92,284.92,,,1.24,1155.08
80,C80,2,True,False,False,286.45,286.46,,,31.14,1153.55
81,C81,1,True,False,False,291.16,291.17,,,1.18,1148.84
82,C82,0,True,False,False,294.4,294.4,,,42.84,1145.6
83,C83,1,True,False,False,296.37,296.37,,,7.84,1143.63
84,C84,0,True,False,False,306.73,306.74,,,2.82,1133.27
85,C85,0,True,False,False,314.11,314.11,,,31.36,1125.89
86,C86,0,True,False,False,315.87,315.89,,,39.57,1124.13
87,C87,3,True,False,False,316.05,316.06,,,34.0,1123.95
88,C88,0,True,False,False,317.51,317.51,,,1.6,1122.49
89,C89,3,True,False,False,319.54,319.54,,,10.46,1120.46
90,C90,1,True,False,False,324.42,324.43,,,17.99,1115.58
91,C91,0,True,False,False,345.91,345.92,,,10.15,1094.09
92,C92,0,True,False,False,347.67,347.68,,,49.9,1092.33
93,C93,2,True,False,False,353.42,353.43,,,4.22,1086.58
94,C94,0,True,False,False,357.02,357.03,,,28.42,1082.98
95,C95,2,True,False,False,361.73,361.73,,,133.23,1078.27
96,C96,2,True,False,False,362.38,362.39,,,69.85,1077.62
97,C97,1,True,False,False,364.42,364.42,,,7.54,1075.58
98,C98,1,True,False,False,365.52,365.53,,,0.0,1074.48
99,C99,3,True,False,False,367.2,367.21,,,118.27,1072.8
100,C100,0,True,False,False,370.08,370.1,,,64.29,1069.92
101,C101,0,True,False,False,374.48,374.48,,,75.57,1065.52
102,C102,2,True,False,False,374.92,374.93,,,16.11,1065.08
103,C103,2,True,False,False,375.49,375.49,,,40.95,1064.51
104,C104,0,True,False,False,377.04,377.04,,,7.18,1062.96
105,C105,2,True,False,False,381.37,381.38,,,14.94,1058.63
106,C106,2,True,False,False,388.87,388.87,,,57.22,1051.13
107,C107,1,True,False,False,392.09,392.1,,,4.1,1047.91
108,C108,1,True,False,False,399.8,399.81,,,67.29,1040.2
109,C109,0,True,False,False,401.75,401.75,,,20.59,1038.25
110,C110,0,True,False,False,403.27,403.27,,,16.66,1036.73
111,C111,1,True,False,False,405.02,405.02,,,10.94,1034.98
112,C112,0,True,False,False,405.77,405.77,,,74.61,1034.23
113,C113,0,True,False,False,412.84,412.84,,,21.87,1027.16
114,C114,0,True,False,False,414.49,414.5,,,48.89,1025.51
115,C115,2,True,False,False,417.71,417.71,,,58.48,1022.29
116,C116,3,True,False,False,421.16,421.17,,,76.68,1018.84
117,C117,1,True,False,False,424.11,424.12,,,10.85,1015.89
118,C118,1,True,False,False,424.12,424.13,,,12.46,1015.88
119,C119,3,True,False,False,441.93,441.93,,,27.12,998.07
120,C120,1,True,False,False,451.36,451.36,,,17.47,988.64
121,C121,1,True,False,False,452.29,452.3,,,81.02,987.71
122,C122,0,True,False,False,453.67,453.68,,,15.2,986.33
123,C123,1,True,False,False,456.61,456.62,,,19.49,983.39
124,C124,1,True,False,False,465.9,465.9,,,28.81,974.1
125,C125,0,True,False,False,482.35,482.35,,,15.56,957.65
126,C126,2,True,False,False,483.54,483.54,,,146.7,956.46
127,C127,2,True,False,False,486.86,486.87,,,3.12,953.14
128,C128,3,True,False,False,493.44,493.45,,,7.48,946.56
129,C129,3,True,False,False,495.45,495.45,,,11.69,944.55
