,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,B0,1,True,False,True,3.58,3.59,11.448174755457773,49.22,37.77,7.87
1,B1,2,True,False,True,4.59,4.59,4.599999999999946,23.1,18.5,0.01
2,B2,3,True,False,True,5.36,5.36,7.301976710737695,8.17,0.86,1.94
3,B3,6,True,False,True,7.76,7.77,23.468758629256115,124.78,101.31,15.7
4,B4,8,True,False,True,11.58,11.58,66.44590613386774,90.37,23.93,54.87
5,B5,9,True,False,True,13.23,13.23,37.32037379358461,38.84,1.52,24.09
6,B6,15,True,False,True,25.08,25.09,62.431101017856655,89.49,27.06,37.35
7,B7,17,True,False,True,28.54,28.55,33.340072270068525,45.23,11.89,4.8
8,B8,19,True,False,True,30.51,30.52,30.530000000001973,34.18,3.65,0.02
9,B9,20,True,False,True,32.01,32.01,32.0200000000022,52.75,20.73,0.01
10,B10,21,True,False,True,33.27,33.27,33.28000000000195,65.74,32.46,0.01
11,B11,23,True,False,True,37.18,37.19,37.20000000000117,65.0,27.8,0.02
12,B12,24,True,False,True,38.92,38.92,38.930000000000824,46.04,7.11,0.01
13,B13,24,True,False,True,39.1,39.1,46.03929405616511,64.64,18.6,6.94
14,B14,25,True,False,True,40.62,40.63,107.3716416233117,126.66,19.29,66.75
15,B15,29,True,False,True,44.64,44.65,44.659999999999684,76.2,31.54,0.02
16,B16,29,True,False,True,45.25,45.25,76.20034490576052,87.35,11.15,30.96
17,B17,30,True,False,True,45.82,45.83,45.83999999999945,85.79,39.95,0.02
18,B18,32,True,False,True,48.1,48.11,83.37662676310825,108.09,24.72,35.28
19,B19,34,True,False,True,50.38,50.38,69.43300487963653,70.41,0.98,19.06
20,B20,38,True,False,True,53.39,53.4,71.68238907223679,91.45,19.77,18.29
21,B21,42,True,False,True,59.07,59.08,68.87204399474646,118.37,49.5,9.8
22,B22,45,True,False,True,62.94,62.95,112.63976317803551,133.6,20.96,49.7
23,B23,47,True,False,True,65.77,65.78,153.86757046556713,158.7,4.83,88.09
24,B24,49,True,False,True,69.62,69.62,75.81584993241643,93.67,17.85,6.2
25,B25,50,True,False,True,70.79,70.79,126.5032907380242,161.87,35.36,55.71
26,B26,52,True,False,True,72.14,72.14,80.5316234217591,83.45,2.92,8.39
27,B27,53,True,False,True,72.91,72.92,93.536854677838,136.01,42.47,20.62
28,B28,54,True,False,True,73.96,73.96,79.52687468219061,84.11,4.58,5.57
29,B29,56,True,False,True,76.95,76.95,135.02385996060812,154.12,19.09,58.08
30,B30,57,True,False,True,77.24,77.24,77.25000000000261,89.43,12.18,0.01
31,B31,59,True,False,True,78.94,78.95,78.96000000000349,86.11,7.15,0.02
32,B32,60,True,False,True,80.63,80.64,94.5233834350356,120.59,26.06,13.89
33,B33,61,True,False,True,82.68,82.68,82.6900000000054,83.64,0.95,0.01
34,B34,63,True,False,True,84.34,84.35,84.36000000000625,120.04,35.68,0.02
35,B35,63,True,False,True,85.46,85.47,120.04268088221528,138.76,18.71,34.58
36,B36,64,True,False,True,87.13,87.14,87.15000000000768,139.29,52.14,0.02
37,B37,68,True,False,True,93.85,93.85,93.86000000001111,112.25,18.39,0.01
38,B38,74,True,False,True,102.5,102.51,106.30546440976246,107.2,0.89,3.8
39,B39,76,True,False,True,104.59,104.6,115.80846822539428,119.68,3.88,11.22
40,B40,78,True,False,True,107.53,107.53,139.53670325426094,179.23,39.69,32.01
41,B41,79,True,False,True,107.9,107.9,117.81838420102672,134.75,16.93,9.92
42,B42,18,True,False,True,109.04,109.05,132.03122449046825,146.61,14.58,22.99
43,B43,50,True,False,True,110.65,110.65,161.8650648764699,171.45,9.58,51.22
44,B44,72,True,False,True,116.69,116.69,126.28118635006452,134.65,8.37,9.6
45,B45,77,True,False,True,117.55,117.55,136.85324552291027,221.3,84.45,19.3
46,B46,18,True,False,True,119.53,119.53,146.61072400604223,160.79,14.18,27.08
47,B47,75,True,False,True,132.24,132.25,365.58223342259146,419.44,53.85,233.34
48,B48,55,True,False,True,134.44,134.45,254.87920143651755,280.99,26.11,120.44
49,B49,75,True,False,True,137.29,137.29,419.4370142217833,468.31,48.87,282.15
50,B50,78,True,False,True,137.67,137.68,286.28647002557904,334.13,47.84,148.61
