,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,B0,3,True,False,True,3.58,3.58,3.5899999999999674,41.36,37.77,0.01
1,B1,4,True,False,True,4.59,4.59,4.599999999999946,23.1,18.5,0.01
2,B2,7,True,False,True,5.36,5.36,5.36999999999993,6.23,0.86,0.01
3,B3,11,True,False,True,7.76,7.77,7.779999999999879,109.09,101.31,0.02
4,B4,2,True,False,True,11.58,11.58,11.58817475545777,35.52,23.93,0.01
5,B5,15,True,False,True,13.23,13.23,13.239999999999762,14.76,1.52,0.01
6,B6,9,True,False,True,25.08,25.09,25.093951489945088,52.15,27.06,0.01
7,B7,12,True,False,True,28.54,28.55,28.551207305123267,40.44,11.89,0.01
8,B8,19,True,False,True,30.51,30.52,30.524895649557546,34.17,3.65,0.01
9,B9,2,True,False,True,32.01,35.52,35.526414635453534,56.26,20.73,3.52
10,B10,8,True,False,True,33.27,37.06,37.06031283146758,69.52,32.46,3.79
11,B11,13,True,False,True,37.18,37.45,37.45154364418676,65.25,27.8,0.27
12,B12,3,True,False,True,38.92,41.36,41.3675779081386,48.48,7.11,2.45
13,B13,5,True,False,True,39.1,41.77,41.778673391863094,60.38,18.6,2.68
14,B14,10,True,False,True,40.62,42.08,42.082468218065365,61.37,19.29,1.46
15,B15,18,True,False,True,44.64,46.4,46.401020706420994,77.94,31.54,1.76
16,B16,3,True,False,True,45.25,48.48,48.486871964302885,59.64,11.15,3.24
17,B17,5,True,False,True,45.82,62.09,62.09635962211809,102.05,39.95,16.27
18,B18,4,True,False,True,48.1,62.43,62.43141102992748,87.15,24.72,14.33
19,B19,13,True,False,True,50.38,65.26,65.26360410158819,66.24,0.98,14.89
20,B20,2,True,False,True,53.39,65.43,65.43410537428485,85.2,19.77,12.04
21,B21,13,True,False,True,59.07,66.25,66.25074394112875,115.75,49.5,7.18
22,B22,14,True,False,True,62.94,66.45,66.45590613386774,87.41,20.96,3.51
23,B23,8,True,False,True,65.77,69.53,69.53472247335014,74.37,4.83,3.76
24,B24,4,True,False,True,69.62,87.15,87.1576951089146,105.01,17.85,17.54
25,B25,14,True,False,True,70.79,87.42,87.42451716961344,122.79,35.36,16.64
26,B26,3,True,False,True,72.14,87.91,87.91952932382691,90.84,2.92,15.78
27,B27,2,True,False,True,72.91,90.44,90.44310506513128,132.91,42.47,17.53
28,B28,0,True,False,True,73.96,90.96,90.96625437807803,95.55,4.58,17.01
29,B29,16,True,False,True,76.95,91.45,91.45864657235863,110.55,19.09,14.51
30,B30,0,True,False,True,77.24,95.55,95.55875449592081,107.74,12.18,18.32
31,B31,6,True,False,True,78.94,111.56,111.56993026360396,118.72,7.15,32.63
32,B32,9,True,False,True,80.63,115.45,115.45111929160026,141.51,26.06,34.82
33,B33,13,True,False,True,82.68,115.75,115.75736411592513,116.71,0.95,33.08
34,B34,13,True,False,True,84.34,116.72,116.72009222393682,152.4,35.68,32.38
35,B35,7,True,False,True,85.46,118.35,118.35955351319897,137.07,18.71,32.9
36,B36,6,True,False,True,87.13,118.72,118.72614969643398,170.87,52.14,31.59
37,B37,18,True,False,True,93.85,118.79,118.7902324670638,137.18,18.39,24.94
38,B38,5,True,False,True,102.5,119.61,119.61855966907238,120.51,0.89,17.12
39,B39,5,True,False,True,104.59,120.52,120.52009841336589,124.4,3.88,15.93
40,B40,16,True,False,True,107.53,120.57,120.57037589127681,160.26,39.69,13.04
41,B41,11,True,False,True,107.9,121.27,121.2730661042803,138.2,16.93,13.38
42,B42,5,True,False,True,109.04,124.4,124.40556975362203,138.99,14.58,15.36
43,B43,5,True,False,True,110.65,138.99,138.99506926919602,148.58,9.58,28.35
44,B44,11,True,False,True,116.69,140.36,140.36978235225226,148.74,8.37,23.68
45,B45,5,True,False,True,117.55,148.99,148.9982296362531,233.45,84.45,31.45
46,B46,10,True,False,True,119.53,151.43,151.43478447468158,165.62,14.18,31.91
47,B47,13,True,False,True,132.24,152.41,152.41277310614583,206.27,53.85,20.17
48,B48,4,True,False,True,134.44,153.41,153.41013932465628,179.52,26.11,18.97
49,B49,17,True,False,True,137.29,157.81,157.81262351185475,206.69,48.87,20.52
50,B50,0,True,False,True,137.67,159.15,159.15697986326808,207.0,47.84,21.48
51,B51,1,True,False,True,142.93,162.54,162.54490580970037,240.81,78.27,19.62
52,B52,11,True,False,True,145.7,165.85,165.8593686356996,195.79,29.93,20.16
53,B53,7,True,False,True,148.06,166.64,166.64636040294133,207.57,40.92,18.59
54,B54,10,True,False,True,149.32,167.77,167.77182485654424,200.8,33.02,18.45
55,B55,19,True,False,True,150.41,168.85,168.85013012256744,192.09,23.24,18.44
56,B56,6,True,False,True,152.03,170.87,170.87690812593917,202.47,31.59,18.85
57,B57,8,True,False,True,155.46,172.17,172.17193336162066,203.62,31.45,16.71
58,B58,2,True,False,True,161.71,174.7,174.7004461860087,175.74,1.04,12.99
59,B59,15,True,False,True,163.85,177.49,177.49106126242742,195.64,18.15,13.64
60,B60,15,True,False,True,167.17,199.72,199.72064396368702,239.05,39.33,32.55
61,B61,9,True,False,True,169.81,200.8,200.80308258683124,207.76,6.96,30.99
62,B62,12,True,False,True,172.76,201.27,201.27149402362593,216.92,15.64,28.52
63,B63,17,True,False,True,176.12,206.69,206.69623248261342,220.97,14.27,30.57
64,B64,0,True,False,True,181.67,207.0,207.00660717241155,219.89,12.89,25.34
65,B65,6,True,False,True,181.93,207.53,207.53918296325287,210.79,3.25,25.61
66,B66,9,True,False,True,186.25,207.77,207.77163446238364,226.42,18.65,21.52
67,B67,8,True,False,True,187.09,207.96,207.96528609033334,222.74,14.78,20.87
68,B68,19,True,False,True,187.74,208.42,208.42925077191862,235.65,27.22,20.69
69,B69,11,True,False,True,190.29,208.9,208.9031738162758,228.83,19.93,18.61
70,B70,14,True,False,True,190.59,209.65,209.651934433407,210.35,0.7,19.06
71,B71,14,True,False,True,197.09,210.36,210.36016813503397,211.17,0.81,13.27
72,B72,6,True,False,True,200.05,210.79,210.79733125952507,241.01,30.21,10.75
73,B73,2,True,False,True,203.9,212.02,212.02679510151552,242.77,30.74,8.12
74,B74,16,True,False,True,203.95,215.11,215.11361289921734,295.55,80.43,11.16
75,B75,17,True,False,True,206.66,220.97,220.9788389281111,273.31,52.33,14.32
76,B76,0,True,False,True,209.1,225.46,225.4668886229744,241.25,15.78,16.36
77,B77,9,True,False,True,209.62,226.43,226.43012395400999,251.01,24.58,16.81
78,B78,19,True,False,True,210.12,235.66,235.6602127759027,250.93,15.27,25.54
79,B79,18,True,False,True,213.69,235.96,235.965565363766,242.27,6.31,22.28
80,B80,15,True,False,True,214.84,239.06,239.06448533301648,250.88,11.82,24.23
81,B81,1,True,False,True,218.37,240.82,240.82196706537786,243.56,2.74,22.45
82,B82,6,True,False,True,220.8,241.02,241.02022571159867,268.48,27.45,20.22
83,B83,0,True,False,True,222.27,241.25,241.2574874398117,246.59,5.33,18.98
84,B84,18,True,False,True,230.05,242.28,242.28170880202728,258.41,16.13,12.23
85,B85,1,True,False,True,235.58,243.57,243.5741088032501,329.19,85.61,7.99
86,B86,10,True,False,True,236.91,246.16,246.16578395718153,246.97,0.8,9.26
87,B87,0,True,False,True,237.04,246.59,246.59825063315276,250.71,4.11,9.56
88,B88,10,True,False,True,238.13,246.98,246.9803148668227,255.85,8.87,8.85
89,B89,15,True,False,True,239.65,251.33,251.33943797383344,322.44,71.1,11.69
90,B90,11,True,False,True,243.32,252.99,252.99090956386132,312.87,59.88,9.68
91,B91,10,True,False,True,259.43,260.41,260.4149101655946,264.83,4.42,0.98
92,B92,9,True,False,True,260.75,262.02,262.0286950520158,361.27,99.24,1.28
93,B93,2,True,False,True,265.07,274.81,274.8139183129705,309.55,34.73,9.75
94,B94,13,True,False,True,267.77,274.81,274.818509944467,294.23,19.41,7.05
95,B95,8,True,False,True,271.3,276.62,276.62608182268593,343.72,67.1,5.33
96,B96,5,True,False,True,271.79,278.52,278.52227841959234,331.66,53.13,6.74
97,B97,19,True,False,True,273.31,278.83,278.83947075948544,291.25,12.41,5.53
98,B98,3,True,False,True,274.14,279.05,279.05810999280914,305.76,26.7,4.92
99,B99,17,True,False,True,275.4,282.95,282.95703037162065,309.02,26.06,7.55
100,B100,13,True,False,True,277.56,294.24,294.24048422017233,304.14,9.9,16.68
101,B101,17,True,False,True,280.86,309.02,309.0265024126095,313.97,4.94,28.17
102,B102,2,True,False,True,281.19,313.71,313.7127168543375,329.43,15.72,32.52
103,B103,3,True,False,True,281.61,314.84,314.8427863919892,322.48,7.64,33.23
104,B104,18,True,False,True,282.78,317.39,317.39740405349824,328.36,10.97,34.62
105,B105,4,True,False,True,286.03,320.01,320.01262876474027,397.07,77.06,33.98
106,B106,3,True,False,True,291.65,322.49,322.4915059974716,337.95,15.46,30.84
107,B107,14,True,False,True,294.07,323.05,323.05271994798227,351.92,28.87,28.98
108,B108,19,True,False,True,299.85,323.84,323.84396543218867,334.09,10.25,23.99
109,B109,10,True,False,True,301.31,325.12,325.12684863501045,462.31,137.18,23.82
110,B110,18,True,False,True,302.45,328.63,328.63894015272916,355.52,26.88,26.19
111,B111,1,True,False,True,303.76,329.19,329.1982691402376,334.65,5.45,25.43
112,B112,7,True,False,True,304.33,329.93,329.9326339713443,332.52,2.58,25.61
113,B113,13,True,False,True,309.63,330.13,330.13921879513424,401.84,71.7,20.51
114,B114,16,True,False,True,310.87,330.3,330.3091564948844,402.72,72.41,19.44
115,B115,15,True,False,True,313.28,330.86,330.8632241405374,355.14,24.28,17.58
116,B116,5,True,False,True,315.87,331.66,331.66567584552115,332.09,0.43,15.79
117,B117,5,True,False,True,318.08,332.1,332.10411362572904,338.49,6.39,14.02
118,B118,1,True,False,True,318.09,334.66,334.6624637199346,375.06,40.4,16.57
119,B119,3,True,False,True,331.45,337.95,337.95889425440646,390.04,52.08,6.51
120,B120,19,True,False,True,338.52,345.43,345.4305521364979,360.56,15.13,6.91
121,B121,9,True,False,True,339.22,361.27,361.27704966220824,372.65,11.37,22.06
122,B122,12,True,False,True,340.26,362.29,362.29894388027833,370.31,8.01,22.04
123,B123,14,True,False,True,342.46,362.31,362.31583467665257,365.43,3.11,19.86
124,B124,5,True,False,True,349.42,363.72,363.72393010967477,366.8,3.08,14.3
125,B125,0,True,False,True,361.76,365.0,365.0067288378737,441.24,76.23,3.25
126,B126,5,True,False,True,362.65,366.8,366.8091618999278,408.15,41.34,4.16
127,B127,19,True,False,True,365.15,370.94,370.9468658356696,375.45,4.5,5.8
128,B128,7,True,False,True,370.08,371.71,371.718266566255,377.52,5.8,1.64
129,B129,9,True,False,True,371.59,372.66,372.66081185397826,399.31,26.65,1.08
130,B130,14,True,False,True,375.53,377.96,377.96158380933485,414.13,36.17,2.44
131,B131,12,True,False,True,376.05,379.54,379.5429721403307,421.1,41.56,3.49
132,B132,2,True,False,True,378.81,382.12,382.1277398339862,386.59,4.46,3.32
133,B133,2,True,False,True,384.83,386.59,386.5961084416504,490.18,103.58,1.76
134,B134,9,True,False,True,397.15,399.31,399.3160828239238,405.78,6.46,2.17
135,B135,16,True,False,True,397.4,402.72,402.7289268930779,424.98,22.25,5.33
136,B136,4,True,False,True,399.08,403.23,403.2301492256546,425.38,22.14,4.15
137,B137,11,True,False,True,399.76,406.96,406.96238313260955,492.52,85.56,7.2
138,B138,13,True,False,True,401.56,408.93,408.9378494579196,435.74,26.8,7.38
139,B139,3,True,False,True,403.94,411.42,411.4209582711091,433.4,21.98,7.48
140,B140,14,True,False,True,404.23,414.14,414.1401316379483,432.43,18.29,9.91
141,B141,8,True,False,True,405.29,423.8,423.8094577729839,459.98,36.17,18.52
142,B142,16,True,False,True,413.17,424.99,424.9932609400993,427.8,2.8,11.83
143,B143,4,True,False,True,415.69,425.38,425.38514251422856,425.44,0.05,9.69
144,B144,4,True,False,True,417.53,425.44,425.44749482084666,501.62,76.17,7.92
145,B145,1,True,False,True,421.73,427.19,427.19808581444494,444.46,17.26,5.47
146,B146,16,True,False,True,425.79,427.8,427.80604390152286,437.76,9.95,2.02
147,B147,5,True,False,True,425.94,428.59,428.59989136633783,440.07,11.47,2.66
148,B148,3,True,False,True,429.64,433.41,433.41211081591257,474.13,40.72,3.77
149,B149,18,True,False,True,435.12,436.82,436.8206492584079,448.87,12.05,1.7
150,B150,16,True,False,True,435.67,437.76,437.76594736868765,474.53,36.76,2.1
151,B151,1,True,False,True,440.22,465.23,465.2375207260579,479.75,14.52,25.01
152,B152,8,True,False,True,441.24,468.65,468.654761653433,515.11,46.46,27.42
153,B153,13,True,False,True,442.33,470.76,470.76243670616856,472.74,1.98,28.43
154,B154,12,True,False,True,445.62,470.92,470.9291285678808,487.33,16.4,25.31
155,B155,5,True,False,True,445.97,472.1,472.1003486373252,487.82,15.72,26.13
156,B156,15,True,False,True,449.25,472.18,472.1841880872884,479.86,7.67,22.93
157,B157,13,True,False,True,455.82,472.75,472.7540387129021,544.64,71.89,16.94
158,B158,19,True,False,True,459.39,473.97,473.9761107032845,532.83,58.85,14.59
159,B159,3,True,False,True,461.13,474.14,474.1431491046914,488.8,14.66,13.01
160,B160,16,True,False,True,462.86,474.53,474.53624186377664,477.09,2.56,11.67
161,B161,10,True,False,True,467.21,475.37,475.37944236885676,481.17,5.79,8.17
162,B162,16,True,False,True,469.71,477.1,477.1014791563475,485.02,7.92,7.39
