,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,D0,8.0,True,False,True,5.96,5.97,5.979999999999917,37.05,31.07,0.02
1,D1,6.0,True,False,True,7.65,7.65,7.651976710737688,111.56,103.91,0.01
2,D2,13.0,True,False,True,8.93,8.94,8.949999999999854,37.44,28.49,0.02
3,D3,5.0,True,False,True,12.94,12.95,12.956463572997723,37.32,24.36,0.02
4,D4,16.0,True,False,True,19.3,19.3,19.31000000000022,19.43,0.12,0.01
5,D5,18.0,True,False,True,22.05,22.05,22.06000000000065,45.06,23.0,0.01
6,D6,,False,False,False,41.8,,,,92.05,1398.2
7,D7,,False,False,False,47.57,,,,7.76,1392.43
8,D8,,False,False,False,50.85,,,,1.88,1389.15
9,D9,,False,False,False,53.34,,,,18.32,1386.66
10,D10,,False,False,False,55.44,,,,16.35,1384.56
11,D11,,False,False,False,61.97,,,,68.28,1378.03
12,D12,,False,False,False,64.86,,,,0.95,1375.14
13,D13,,False,False,False,65.17,,,,88.69,1374.83
14,D14,,False,False,False,67.7,,,,40.08,1372.3
15,D15,,False,False,False,74.4,,,,82.31,1365.6
16,D16,,False,False,False,75.41,,,,32.82,1364.59
17,D17,,False,False,False,76.37,,,,58.63,1363.63
18,D18,,False,False,False,80.17,,,,14.34,1359.83
19,D19,,False,False,False,83.96,,,,15.09,1356.04
20,D20,,False,False,False,88.99,,,,17.34,1351.01
21,D21,,False,False,False,98.46,,,,49.32,1341.54
22,D22,,False,False,False,104.9,,,,16.17,1335.1
23,D23,,False,False,False,109.62,,,,9.73,1330.38
24,D24,,False,False,False,116.03,,,,97.38,1323.97
25,D25,,False,False,False,117.98,,,,83.72,1322.02
26,D26,,False,False,False,120.23,,,,15.05,1319.77
27,D27,,False,False,False,121.52,,,,35.33,1318.48
28,D28,,False,False,False,123.26,,,,11.23,1316.74
29,D29,,False,False,False,128.25,,,,8.1,1311.75
30,D30,,False,False,False,128.73,,,,14.39,1311.27
31,D31,,False,False,False,131.57,,,,13.9,1308.43
32,D32,,False,False,False,134.39,,,,75.07,1305.61
33,D33,,False,False,False,137.79,,,,60.62,1302.21
34,D34,,False,False,False,140.57,,,,43.39,1299.43
35,D35,,False,False,False,142.44,,,,112.37,1297.56
36,D36,,False,False,False,145.22,,,,19.27,1294.78
37,D37,,False,False,False,156.41,,,,9.86,1283.59
38,D38,,False,False,False,170.84,,,,4.38,1269.16
39,D39,,False,False,False,174.32,,,,12.57,1265.68
40,D40,,False,False,False,179.21,,,,5.51,1260.79
41,D41,,False,False,False,179.83,,,,3.39,1260.17
42,D42,,False,False,False,181.73,,,,32.41,1258.27
43,D43,,False,False,False,184.41,,,,15.89,1255.59
44,D44,,False,False,False,194.48,,,,29.17,1245.52
45,D45,,False,False,False,195.92,,,,7.45,1244.08
46,D46,,False,False,False,199.22,,,,39.64,1240.78
47,D47,,False,False,False,220.4,,,,8.52,1219.6
48,D48,,False,False,False,224.07,,,,11.43,1215.93
49,D49,,False,False,False,228.81,,,,47.5,1211.19
50,D50,,False,False,False,229.46,,,,28.79,1210.54
51,D51,,False,False,False,238.21,,,,14.31,1201.79
52,D52,,False,False,False,242.83,,,,27.48,1197.17
53,D53,,False,False,False,246.77,,,,41.55,1193.23
54,D54,,False,False,False,248.87,,,,85.33,1191.13
55,D55,,False,False,False,250.68,,,,30.5,1189.32
56,D56,,False,False,False,253.38,,,,9.29,1186.62
57,D57,,False,False,False,259.09,,,,48.18,1180.91
58,D58,,False,False,False,269.51,,,,52.77,1170.49
59,D59,,False,False,False,273.08,,,,7.85,1166.92
60,D60,,False,False,False,278.61,,,,60.28,1161.39
61,D61,,False,False,False,283.02,,,,21.94,1156.98
62,D62,,False,False,False,287.93,,,,53.09,1152.07
63,D63,,False,False,False,293.54,,,,9.51,1146.46
64,D64,,False,False,False,302.78,,,,14.19,1137.22
65,D65,,False,False,False,303.21,,,,107.81,1136.79
66,D66,,False,False,False,310.42,,,,37.63,1129.58
67,D67,,False,False,False,311.82,,,,52.01,1128.18
68,D68,,False,False,False,312.9,,,,40.91,1127.1
69,D69,,False,False,False,317.15,,,,8.02,1122.85
70,D70,,False,False,False,317.65,,,,22.32,1122.35
71,D71,,False,False,False,328.48,,,,58.08,1111.52
72,D72,,False,False,False,333.41,,,,39.44,1106.59
73,D73,,False,False,False,339.84,,,,0.21,1100.16
74,D74,,False,False,False,339.92,,,,3.21,1100.08
75,D75,,False,False,False,344.43,,,,14.94,1095.57
76,D76,,False,False,False,348.5,,,,101.37,1091.5
77,D77,,False,False,False,349.37,,,,23.71,1090.63
78,D78,,False,False,False,350.2,,,,11.05,1089.8
79,D79,,False,False,False,356.15,,,,15.68,1083.85
80,D80,,False,False,False,358.06,,,,8.3,1081.94
81,D81,,False,False,False,363.95,,,,19.19,1076.05
82,D82,,False,False,False,367.99,,,,8.63,1072.01
83,D83,,False,False,False,370.46,,,,65.59,1069.54
84,D84,,False,False,False,383.42,,,,21.38,1056.58
85,D85,,False,False,False,392.63,,,,11.52,1047.37
86,D86,,False,False,False,394.84,,,,94.79,1045.16
87,D87,,False,False,False,395.07,,,,13.24,1044.93
88,D88,,False,False,False,396.88,,,,84.38,1043.12
89,D89,,False,False,False,399.42,,,,1.56,1040.58
90,D90,,False,False,False,405.53,,,,43.09,1034.47
91,D91,,False,False,False,432.39,,,,23.21,1007.61
92,D92,,False,False,False,434.59,,,,20.61,1005.41
93,D93,,False,False,False,441.78,,,,1.3,998.22
94,D94,,False,False,False,446.28,,,,1.46,993.72
95,D95,,False,False,False,452.16,,,,14.2,987.84
96,D96,,False,False,False,452.98,,,,103.15,987.02
97,D97,,False,False,False,455.52,,,,33.73,984.48
98,D98,,False,False,False,456.9,,,,16.15,983.1
99,D99,,False,False,False,459.0,,,,33.22,981.0
100,D100,,False,False,False,462.6,,,,8.1,977.4
101,D101,,False,False,False,468.1,,,,6.33,971.9
102,D102,,False,False,False,468.66,,,,15.76,971.34
103,D103,,False,False,False,469.36,,,,69.84,970.64
104,D104,,False,False,False,471.3,,,,24.99,968.7
105,D105,,False,False,False,476.72,,,,12.36,963.28
106,D106,,False,False,False,486.09,,,,105.29,953.91
107,D107,,False,False,False,490.12,,,,59.39,949.88
108,D108,,False,False,False,499.75,,,,13.69,940.25
109,D109,,False,False,False,502.18,,,,125.58,937.82
110,D110,,False,False,False,504.09,,,,153.34,935.91
111,D111,,False,False,False,506.27,,,,18.43,933.73
112,D112,,False,False,False,507.21,,,,37.43,932.79
113,D113,,False,False,False,516.05,,,,18.26,923.95
114,D114,,False,False,False,518.11,,,,10.44,921.89
115,D115,,False,False,False,522.13,,,,3.03,917.87
116,D116,,False,False,False,526.45,,,,10.74,913.55
117,D117,,False,False,False,530.14,,,,11.11,909.86
118,D118,,False,False,False,530.15,,,,17.84,909.85
119,D119,,False,False,False,552.41,,,,7.17,887.59
120,D120,,False,False,False,564.2,,,,107.9,875.8
121,D121,,False,False,False,565.36,,,,3.81,874.64
122,D122,,False,False,False,567.09,,,,34.43,872.91
123,D123,,False,False,False,570.76,,,,20.45,869.24
124,D124,,False,False,False,582.37,,,,19.33,857.63
125,D125,,False,False,False,602.93,,,,16.32,837.07
126,D126,,False,False,False,604.42,,,,71.13,835.58
127,D127,,False,False,False,608.58,,,,11.55,831.42
128,D128,,False,False,False,616.8,,,,0.73,823.2
129,D129,,False,False,False,619.31,,,,87.8,820.69
130,D130,,False,False,False,625.88,,,,70.13,814.12
131,D131,,False,False,False,626.75,,,,11.38,813.25
132,D132,,False,False,False,631.34,,,,26.01,808.66
133,D133,,False,False,False,641.39,,,,4.05,798.61
134,D134,,False,False,False,661.92,,,,3.44,778.08
135,D135,,False,False,False,662.33,,,,63.75,777.67
136,D136,,False,False,False,665.13,,,,18.53,774.87
137,D137,,False,False,False,666.27,,,,38.03,773.73
138,D138,,False,False,False,669.27,,,,100.64,770.73
139,D139,,False,False,False,673.23,,,,9.87,766.77
140,D140,,False,False,False,673.72,,,,0.46,766.28
141,D141,,False,False,False,675.48,,,,0.86,764.52
142,D142,,False,False,False,688.61,,,,43.36,751.39
143,D143,,False,False,False,692.82,,,,90.68,747.18
144,D144,,False,False,False,695.88,,,,22.1,744.12
145,D145,,False,False,False,702.88,,,,16.5,737.12
146,D146,,False,False,False,709.65,,,,27.47,730.35
147,D147,,False,False,False,709.9,,,,68.72,730.1
148,D148,,False,False,False,716.07,,,,37.05,723.93
149,D149,,False,False,False,725.21,,,,9.31,714.79
150,D150,,False,False,False,726.11,,,,52.27,713.89
151,D151,,False,False,False,733.71,,,,5.07,706.29
152,D152,,False,False,False,735.39,,,,6.35,704.61
153,D153,,False,False,False,737.22,,,,33.28,702.78
154,D154,,False,False,False,742.7,,,,9.57,697.3
155,D155,,False,False,False,743.29,,,,42.81,696.71
156,D156,,False,False,False,748.75,,,,15.09,691.25
157,D157,,False,False,False,759.69,,,,11.4,680.31
158,D158,,False,False,False,765.65,,,,239.63,674.35
159,D159,,False,False,False,768.55,,,,1.45,671.45
160,D160,,False,False,False,771.44,,,,36.42,668.56
161,D161,,False,False,False,778.68,,,,1.38,661.32
162,D162,,False,False,False,782.85,,,,50.11,657.15
163,D163,,False,False,False,783.29,,,,9.17,656.71
164,D164,,False,False,False,787.66,,,,3.3,652.34
165,D165,,False,False,False,796.09,,,,36.68,643.91
166,D166,,False,False,False,798.15,,,,46.28,641.85
167,D167,,False,False,False,811.28,,,,39.77,628.72
168,D168,,False,False,False,818.22,,,,1.87,621.78
169,D169,,False,False,False,822.49,,,,12.23,617.51
170,D170,,False,False,False,829.45,,,,21.05,610.55
171,D171,,False,False,False,829.87,,,,11.87,610.13
172,D172,,False,False,False,839.68,,,,58.37,600.32
173,D173,,False,False,False,848.29,,,,4.93,591.71
174,D174,,False,False,False,860.32,,,,33.24,579.68
175,D175,,False,False,False,861.01,,,,155.82,578.99
176,D176,,False,False,False,861.44,,,,81.7,578.56
177,D177,,False,False,False,862.18,,,,8.82,577.82
178,D178,,False,False,False,864.73,,,,0.0,575.27
179,D179,,False,False,False,867.49,,,,138.33,572.51
180,D180,,False,False,False,871.62,,,,75.2,568.38
181,D181,,False,False,False,872.28,,,,88.39,567.72
182,D182,,False,False,False,873.4,,,,18.84,566.6
183,D183,,False,False,False,881.75,,,,47.89,558.25
184,D184,,False,False,False,884.9,,,,8.4,555.1
185,D185,,False,False,False,893.15,,,,17.48,546.85
186,D186,,False,False,False,893.19,,,,66.93,546.81
187,D187,,False,False,False,897.2,,,,4.79,542.8
188,D188,,False,False,False,910.64,,,,78.7,529.36
189,D189,,False,False,False,915.0,,,,24.08,525.0
190,D190,,False,False,False,916.15,,,,19.48,523.85
191,D191,,False,False,False,922.48,,,,12.8,517.52
192,D192,,False,False,False,924.86,,,,87.27,515.14
193,D193,,False,False,False,930.38,,,,25.58,509.62
194,D194,,False,False,False,930.53,,,,57.19,509.47
195,D195,,False,False,False,935.58,,,,68.4,504.42
196,D196,,False,False,False,935.74,,,,89.68,504.26
197,D197,,False,False,False,942.57,,,,12.68,497.43
198,D198,,False,False,False,945.77,,,,14.57,494.23
199,D199,,False,False,False,946.42,,,,31.72,493.58
200,D200,,False,False,False,950.33,,,,20.43,489.67
