,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,C0,5,True,False,True,4.77,4.77,4.7799999999999425,11.88,7.1,0.01
1,C1,9,True,False,True,6.12,6.12,6.129999999999914,22.53,16.4,0.01
2,C2,7,True,False,True,7.15,7.15,7.153586254872329,14.53,7.38,0.01
3,C3,14,True,False,True,10.35,10.36,10.369999999999823,66.45,56.08,0.02
4,C4,7,True,False,True,15.44,15.44,15.44196201229461,33.72,18.28,0.01
5,C5,12,True,False,True,17.64,17.64,17.644333393849028,27.49,9.85,0.01
6,C6,1,True,False,True,33.44,33.45,33.456944876280936,114.5,81.04,0.02
7,C7,5,True,False,True,38.06,38.06,38.06683736658241,49.39,11.32,0.01
8,C8,12,True,False,True,40.68,40.69,40.69643746010702,112.84,72.14,0.01
9,C9,10,True,False,True,42.67,42.68,42.682468218065246,44.01,1.33,0.01
10,C10,10,True,False,True,44.35,44.36,44.36413400770178,81.2,36.84,0.01
11,C11,5,True,False,True,49.58,49.58,49.58853615955893,69.43,19.84,0.01
12,C12,31,True,False,True,51.89,51.89,51.89713983953899,69.52,17.62,0.01
13,C13,33,True,False,True,52.13,52.14,52.149999999998194,53.26,1.11,0.02
14,C14,34,True,False,True,54.16,54.17,54.17999999999779,55.43,1.25,0.02
15,C15,22,True,False,True,59.52,59.53,59.534312737700915,71.67,12.14,0.01
16,C16,2,True,False,True,60.33,60.33,60.334805087563744,148.53,88.19,0.01
17,C17,26,True,False,True,61.1,61.1,61.10799110375878,89.95,28.84,0.01
18,C18,33,True,False,True,64.13,64.14,64.14899169418617,77.96,13.81,0.02
19,C19,14,True,False,True,67.17,67.17,67.17590613386811,95.58,28.4,0.01
20,C20,31,True,False,True,71.19,71.2,71.20867952280528,78.13,6.93,0.02
21,C21,33,True,False,True,78.77,78.77,78.77652430271428,84.19,5.41,0.01
22,C22,10,True,False,True,83.92,83.93,83.93612544321724,97.41,13.47,0.01
23,C23,5,True,False,True,87.7,87.7,87.70449818343938,147.42,59.71,0.01
24,C24,31,True,False,True,92.83,92.83,92.83554443024858,114.2,21.36,0.01
25,C25,36,True,False,True,94.39,94.39,94.39685467783843,104.96,10.57,0.01
26,C26,14,True,False,True,96.18,96.19,96.19662903635599,186.22,90.02,0.01
27,C27,39,True,False,True,97.22,97.22,97.22338343503698,148.0,50.78,0.0
28,C28,18,True,False,True,98.61,99.06,99.06700839174302,110.77,11.7,0.46
29,C29,22,True,False,True,102.6,106.71,106.71664407124122,214.09,107.37,4.12
30,C30,23,True,False,True,102.98,107.07,107.07213140160118,238.18,131.11,4.09
31,C31,17,True,False,True,105.26,107.37,107.37393193522387,123.13,15.76,2.12
32,C32,27,True,False,True,107.51,109.69,109.69265803093948,141.7,32.01,2.18
33,C33,18,True,False,True,110.24,110.77,110.77837391965309,126.39,15.61,0.54
34,C34,4,True,False,True,112.45,112.64,112.64117420796684,121.57,8.93,0.19
35,C35,37,True,False,True,113.95,113.96,113.9668028268863,116.55,2.59,0.01
36,C36,28,True,False,True,116.17,116.18,116.18655124496699,125.37,9.18,0.01
37,C37,26,True,False,True,125.13,125.13,125.13316795380369,134.64,9.5,0.0
38,C38,9,True,False,True,136.67,136.68,136.68944021599603,151.95,15.26,0.02
39,C39,30,True,False,True,139.46,139.46,139.46075442268767,145.59,6.13,0.0
40,C40,17,True,False,True,143.37,145.15,145.15280863055202,237.41,92.26,1.78
41,C41,29,True,False,True,143.86,145.49,145.49443849206673,148.75,3.26,1.63
42,C42,30,True,False,True,145.39,145.6,145.60357451124122,175.05,29.44,0.22
43,C43,25,True,False,True,147.53,147.94,147.94362843302173,165.43,17.49,0.41
44,C44,38,True,False,True,155.58,156.73,156.73750763547656,173.26,16.52,1.16
45,C45,32,True,False,True,156.73,157.05,157.05685761110294,171.01,13.96,0.32
46,C46,16,True,False,True,159.37,160.57,160.5793526080315,221.4,60.82,1.21
47,C47,13,True,False,True,176.32,176.33,176.33136196602075,186.21,9.88,0.01
48,C48,21,True,False,True,179.25,179.26,179.2623283890801,179.89,0.62,0.01
49,C49,9,True,False,True,183.05,183.63,183.63525300382037,258.7,75.07,0.58
50,C50,26,True,False,True,183.57,185.53,185.53499523212133,245.49,59.96,1.97
51,C51,1,True,False,True,190.57,190.57,190.57850913733407,200.3,9.73,0.01
52,C52,8,True,False,True,194.26,194.27,194.27421301709907,216.51,22.24,0.01
53,C53,28,True,False,True,197.41,197.42,197.4275594082007,200.89,3.47,0.01
54,C54,11,True,False,True,199.09,199.1,199.1031887491587,202.05,2.94,0.01
55,C55,1,True,False,True,200.54,200.55,200.5548160169586,255.06,54.51,0.01
56,C56,6,True,False,True,202.7,202.71,202.7141062606711,218.56,15.84,0.01
57,C57,14,True,False,True,207.28,207.28,207.2815953215213,239.8,32.52,0.01
58,C58,20,True,False,True,215.61,215.61,215.61341479270106,301.66,86.05,0.01
59,C59,28,True,False,True,218.47,218.47,218.47609293695498,226.91,8.44,0.01
60,C60,16,True,False,True,222.89,222.9,222.90956373871427,223.31,0.4,0.02
61,C61,16,True,False,True,226.42,226.42,226.426979412512,227.16,0.73,0.01
62,C62,21,True,False,True,230.34,230.35,230.35613848109034,267.43,37.07,0.02
63,C63,3,True,False,True,234.83,234.84,234.84027044168977,312.37,77.53,0.01
64,C64,22,True,False,True,242.22,242.23,242.23587576052083,261.13,18.9,0.01
65,C65,23,True,False,True,242.57,242.57,242.57767697917038,256.68,14.11,0.01
66,C66,11,True,False,True,248.34,248.34,248.3433065647072,271.83,23.48,0.0
67,C67,31,True,False,True,249.46,249.46,249.46730340307974,308.22,58.75,0.01
68,C68,2,True,False,True,250.32,250.33,250.33602193110463,282.02,31.68,0.02
69,C69,25,True,False,True,253.72,253.72,253.72978541357736,261.69,7.96,0.01
70,C70,35,True,False,True,254.12,254.13,254.1333282229962,298.83,44.69,0.01
71,C71,8,True,False,True,262.78,262.79,262.79204535348157,267.13,4.34,0.01
72,C72,17,True,False,True,266.73,266.74,266.7473919879157,272.18,5.43,0.02
73,C73,11,True,False,True,271.87,271.88,271.88630211242383,300.34,28.46,0.01
74,C74,22,True,False,True,271.94,271.94,271.9489009116534,280.13,8.19,0.01
75,C75,30,True,False,True,275.55,275.55,275.5546834485757,312.16,36.6,0.01
76,C76,16,True,False,True,278.8,278.81,278.81444600020143,291.72,12.9,0.01
77,C77,28,True,False,True,279.5,279.5,279.50886852562786,289.26,9.75,0.01
78,C78,22,True,False,True,280.16,280.16,280.16402123751305,485.04,204.88,0.0
79,C79,24,True,False,True,284.92,284.92,284.92355225385177,286.17,1.24,0.01
80,C80,23,True,False,True,286.45,286.46,286.4644463853711,317.6,31.14,0.01
81,C81,26,True,False,True,291.16,291.17,291.1722148794668,292.36,1.18,0.01
82,C82,33,True,False,True,294.4,294.4,294.40835444694386,337.25,42.84,0.01
83,C83,37,True,False,True,296.37,296.37,296.3711161585561,304.22,7.84,0.01
84,C84,34,True,False,True,306.73,306.74,306.7471249788621,309.57,2.82,0.01
85,C85,19,True,False,True,314.11,314.11,314.1153088313112,345.48,31.36,0.01
86,C86,32,True,False,True,315.87,315.88,315.8882590740204,355.46,39.57,0.01
87,C87,34,True,False,True,316.05,316.06,316.0609030312141,350.07,34.0,0.01
88,C88,20,True,False,True,317.51,317.51,317.5175117023926,319.12,1.6,0.01
89,C89,24,True,False,True,319.54,319.54,319.54850498733924,330.01,10.46,0.01
90,C90,2,True,False,True,324.42,324.43,324.4319759193605,342.43,17.99,0.01
91,C91,19,True,False,True,345.91,345.92,345.9273841567945,356.08,10.15,0.02
92,C92,30,True,False,True,347.67,347.68,347.68799193298486,397.59,49.9,0.02
93,C93,9,True,False,True,353.42,353.43,353.43836649374333,357.65,4.22,0.02
94,C94,14,True,False,True,357.02,357.03,357.03634658274075,385.45,28.42,0.02
95,C95,2,True,False,True,361.73,361.73,361.7327233572303,494.96,133.23,0.01
96,C96,13,True,False,True,362.38,362.39,362.3937071184428,432.25,69.85,0.01
97,C97,20,True,False,True,364.42,364.42,364.42413886929967,371.96,7.54,0.01
98,C98,24,True,False,True,365.52,365.53,365.5338743540266,365.54,0.0,0.01
99,C99,8,True,False,True,367.2,367.21,367.2104870116278,485.48,118.27,0.01
100,C100,26,True,False,True,370.08,370.09,370.0920683607058,434.39,64.29,0.01
101,C101,29,True,False,True,374.48,374.48,374.4851173302832,450.06,75.57,0.01
102,C102,31,True,False,True,374.92,374.93,374.930789880742,391.04,16.11,0.01
103,C103,32,True,False,True,375.49,375.49,375.49868407362914,416.45,40.95,0.01
104,C104,12,True,False,True,377.04,377.04,377.0460459345636,384.23,7.18,0.01
105,C105,20,True,False,True,381.37,381.38,381.38934308747656,396.33,14.94,0.02
106,C106,7,True,False,True,388.87,388.87,388.8754277802517,446.1,57.22,0.01
107,C107,10,True,False,True,392.09,392.1,392.1021104121825,396.2,4.1,0.01
108,C108,30,True,False,True,399.8,399.81,399.81110992268077,467.1,67.29,0.01
109,C109,34,True,False,True,401.75,401.75,401.7500685685946,422.34,20.59,0.0
110,C110,36,True,False,True,403.27,403.27,403.2776177194999,419.94,16.66,0.01
111,C111,4,True,False,True,405.02,405.02,405.02720112721664,415.97,10.94,0.01
112,C112,37,True,False,True,405.77,405.77,405.7778237906282,480.39,74.61,0.01
113,C113,17,True,False,True,412.84,412.84,412.8406858958547,434.71,21.87,0.0
114,C114,39,True,False,True,414.49,414.5,414.50227475489964,463.4,48.89,0.01
115,C115,23,True,False,True,417.71,417.71,417.71534409812983,476.2,58.48,0.01
116,C116,18,True,False,True,421.16,421.17,421.17123890438967,497.85,76.68,0.01
117,C117,12,True,False,True,424.11,424.12,424.1276287304434,434.97,10.85,0.02
118,C118,15,True,False,True,424.12,424.13,424.1325415010651,436.59,12.46,0.01
119,C119,15,True,False,True,441.93,441.93,441.9338812060739,469.06,27.12,0.0
120,C120,1,True,False,True,451.36,451.36,451.3616290711668,468.83,17.47,0.0
121,C121,29,True,False,True,452.29,452.3,452.3098009254895,533.33,81.02,0.02
122,C122,6,True,False,True,453.67,453.68,453.6861533495349,468.89,15.2,0.01
123,C123,13,True,False,True,456.61,456.62,456.62638852734943,476.12,19.49,0.02
124,C124,19,True,False,True,465.9,465.9,465.9018838901881,494.71,28.81,0.0
125,C125,10,True,False,True,482.35,482.35,482.35600082518886,497.92,15.56,0.01
126,C126,16,True,False,True,483.54,483.54,483.54459042971075,630.24,146.7,0.01
127,C127,14,True,False,True,486.86,486.87,486.8708859122277,489.99,3.12,0.01
128,C128,12,True,False,True,493.44,493.45,493.4512597752193,500.93,7.48,0.01
129,C129,2,True,False,True,495.45,495.45,495.45041213294263,507.14,11.69,0.0
130,C130,11,True,False,True,500.7,500.71,500.7146226312449,505.51,4.8,0.01
131,C131,12,True,False,True,501.4,501.41,501.4183140640214,511.45,10.03,0.02
132,C132,24,True,False,True,505.08,505.08,505.08951626161127,550.41,45.32,0.01
133,C133,28,True,False,True,513.11,513.12,513.1267400503372,535.33,22.2,0.02
134,C134,36,True,False,True,529.53,529.54,529.5451912669355,530.58,1.04,0.01
135,C135,38,True,False,True,529.86,529.87,529.870864630738,651.45,121.58,0.01
136,C136,28,True,False,True,532.1,536.0,536.0075466898556,564.72,28.71,3.91
137,C137,20,True,False,True,533.02,539.41,539.4175377759601,541.24,1.82,6.4
138,C138,6,True,False,True,535.41,539.62,539.6245499823336,572.09,32.47,4.21
139,C139,32,True,False,True,538.59,540.19,540.1965294100111,554.46,14.26,1.61
140,C140,31,True,False,True,538.98,540.38,540.3876681795416,544.76,4.37,1.41
141,C141,20,True,False,True,540.39,541.24,541.249972538602,566.13,24.88,0.86
142,C142,0,True,False,True,550.89,550.89,550.8981811264651,589.86,38.96,0.01
143,C143,12,True,False,True,554.26,554.26,554.261231252687,587.62,33.36,0.01
144,C144,3,True,False,True,556.7,556.71,556.7189163346791,565.25,8.53,0.02
145,C145,31,True,False,True,562.3,562.31,562.3118017792192,584.64,22.32,0.01
146,C146,29,True,False,True,567.72,567.73,567.7342493960541,590.88,23.14,0.01
147,C147,33,True,False,True,567.92,567.92,567.9240090458097,605.77,37.85,0.0
148,C148,6,True,False,True,572.85,572.86,572.8621444067207,586.24,13.38,0.01
149,C149,2,True,False,True,580.16,580.17,580.1792975348507,628.12,47.94,0.01
150,C150,4,True,False,True,580.89,580.9,580.9062956635019,610.57,29.66,0.02
151,C151,6,True,False,True,586.97,586.97,586.974540111492,588.15,1.17,0.01
152,C152,6,True,False,True,588.32,588.32,588.3271079189406,612.05,23.72,0.01
153,C153,14,True,False,True,589.78,589.78,589.7882744985908,649.18,59.4,0.01
154,C154,22,True,False,True,594.16,594.16,594.1662328453062,619.32,25.15,0.01
