,id,serverId,isScheduled,inProcess,isServed,arrivalTime,scheduledTime,processingTime,finishTime,serviceTime,waitTime
0,A0,0,True,False,True,2.38,2.39,2.399999999999993,25.49,23.09,0.02
1,A1,1,True,False,True,3.06,3.06,3.0699999999999785,16.38,13.31,0.01
2,A2,2,True,False,True,3.57,3.58,3.5899999999999674,11.45,7.86,0.02
3,B0,3,True,False,True,3.58,3.58,3.5899999999999674,41.36,37.77,0.01
4,B1,4,True,False,True,4.59,4.59,4.599999999999946,23.1,18.5,0.01
5,C0,5,True,False,True,4.77,4.77,4.7799999999999425,11.88,7.1,0.01
6,A3,6,True,False,True,5.18,5.18,5.189999999999934,7.3,2.11,0.01
7,B2,7,True,False,True,5.36,5.36,5.36999999999993,6.23,0.86,0.01
8,D0,8,True,False,True,5.96,5.97,5.979999999999917,37.05,31.07,0.02
9,C1,9,True,False,True,6.12,6.12,6.129999999999914,22.53,16.4,0.01
10,C2,7,True,False,True,7.15,7.15,7.153586254872329,14.53,7.38,0.01
11,D1,6,True,False,True,7.65,7.65,7.651976710737688,111.56,103.91,0.01
12,A4,10,True,False,True,7.72,7.72,7.72999999999988,23.47,15.74,0.01
13,B3,11,True,False,True,7.76,7.77,7.779999999999879,109.09,101.31,0.02
14,A5,12,True,False,True,8.82,8.82,8.829999999999856,17.35,8.52,0.01
15,D2,13,True,False,True,8.93,8.94,8.949999999999854,37.44,28.49,0.02
16,C3,14,True,False,True,10.35,10.36,10.369999999999823,66.45,56.08,0.02
17,B4,2,True,False,True,11.58,11.58,11.58817475545777,35.52,23.93,0.01
18,D3,5,True,False,True,12.94,12.95,12.956463572997723,37.32,24.36,0.02
19,B5,15,True,False,True,13.23,13.23,13.239999999999762,14.76,1.52,0.01
20,C4,7,True,False,True,15.44,15.44,15.44196201229461,33.72,18.28,0.01
21,A6,1,True,False,True,16.72,16.73,16.734985790055514,26.66,9.92,0.01
22,C5,12,True,False,True,17.64,17.64,17.644333393849028,27.49,9.85,0.01
23,A7,15,True,False,True,19.03,19.03,19.038695635535138,26.47,7.44,0.01
24,D4,16,True,False,True,19.3,19.3,19.31000000000022,19.43,0.12,0.01
25,A8,16,True,False,True,20.34,20.35,20.354156629906434,30.15,9.79,0.01
26,A9,17,True,False,True,21.34,21.34,21.350000000000538,37.58,16.23,0.01
27,D5,18,True,False,True,22.05,22.05,22.06000000000065,45.06,23.0,0.01
28,A10,19,True,False,True,22.18,22.18,22.19000000000067,22.47,0.28,0.01
29,A11,4,True,False,True,24.79,24.79,24.79031001207191,62.42,37.63,0.0
30,B6,9,True,False,True,25.08,25.09,25.093951489945088,52.15,27.06,0.01
31,A12,0,True,False,True,25.94,25.95,25.95259872267863,76.95,51.0,0.01
32,A13,10,True,False,True,26.07,26.07,26.078758629256523,42.07,15.99,0.01
33,A14,1,True,False,True,27.08,27.09,27.09687260621387,33.34,6.24,0.02
34,B7,12,True,False,True,28.54,28.55,28.551207305123267,40.44,11.89,0.01
35,A15,15,True,False,True,29.76,29.77,29.77472084121824,122.36,92.59,0.01
36,A16,16,True,False,True,30.16,30.17,30.178333344229042,39.84,9.66,0.01
37,B8,19,True,False,True,30.51,30.52,30.524895649557546,34.17,3.65,0.01
38,A17,20,True,False,True,30.55,30.55,30.560000000001978,54.22,23.66,0.01
39,B9,21,True,False,True,32.01,32.01,32.0200000000022,52.75,20.73,0.01
40,A18,22,True,False,True,32.07,32.07,32.08000000000219,55.5,23.42,0.01
41,B10,23,True,False,True,33.27,33.27,33.28000000000195,65.74,32.46,0.01
42,C6,1,True,False,True,33.44,33.45,33.456944876280936,114.5,81.04,0.02
43,A19,24,True,False,True,33.58,33.59,33.600000000001884,44.99,11.39,0.02
44,A20,2,True,False,True,35.6,35.6,35.60641463545352,40.05,4.44,0.01
45,B11,7,True,False,True,37.18,37.19,37.19106943004377,64.99,27.8,0.01
46,C7,5,True,False,True,38.06,38.06,38.06683736658241,49.39,11.32,0.01
47,B12,8,True,False,True,38.92,38.92,38.92031283146721,46.03,7.11,0.0
48,B13,13,True,False,True,39.1,39.1,39.101543644186435,57.71,18.6,0.0
49,A21,17,True,False,True,39.38,39.39,39.392290311912895,107.36,67.97,0.01
50,B14,2,True,False,True,40.62,40.63,40.63825066073394,59.92,19.29,0.02
51,C8,12,True,False,True,40.68,40.69,40.69643746010702,112.84,72.14,0.01
52,D6,3,True,False,True,41.8,41.81,41.81757790813851,133.87,92.05,0.02
53,A22,16,True,False,True,41.96,41.97,41.97234890026737,43.29,1.32,0.01
54,C9,10,True,False,True,42.67,42.68,42.682468218065246,44.01,1.33,0.01
55,A23,16,True,False,True,43.85,43.85,43.858540470868704,57.14,13.28,0.01
56,C10,10,True,False,True,44.35,44.36,44.36413400770178,81.2,36.84,0.01
57,B15,19,True,False,True,44.64,44.65,44.650006982633414,76.19,31.54,0.01
58,B16,18,True,False,True,45.25,45.25,45.25482913581951,56.41,11.15,0.01
59,B17,24,True,False,True,45.82,45.83,45.834148011071164,85.79,39.95,0.01
60,A24,8,True,False,True,46.41,46.42,46.429606887631415,51.42,4.99,0.02
61,A25,25,True,False,True,47.19,47.2,47.20999999999918,54.17,6.96,0.02
62,D7,26,True,False,True,47.57,47.58,47.5899999999991,55.35,7.76,0.02
63,A26,27,True,False,True,48.09,48.1,48.109999999999,83.38,35.27,0.02
64,B18,28,True,False,True,48.1,48.1,48.109999999999,72.83,24.72,0.01
65,A27,29,True,False,True,48.61,48.61,48.619999999998896,57.77,9.15,0.01
66,A28,30,True,False,True,49.3,49.31,49.31999999999876,51.06,1.74,0.02
67,C11,5,True,False,True,49.58,49.58,49.58853615955893,69.43,19.84,0.01
68,B19,31,True,False,True,50.38,50.38,50.389999999998544,51.37,0.98,0.01
69,D8,32,True,False,True,50.85,50.86,50.86999999999845,52.75,1.88,0.02
70,A29,30,True,False,True,51.3,51.3,51.30055342700303,55.67,4.37,0.0
71,A30,8,True,False,True,51.49,51.5,51.50757900363643,90.88,39.38,0.02
72,C12,31,True,False,True,51.89,51.89,51.89713983953899,69.52,17.62,0.01
73,C13,33,True,False,True,52.13,52.14,52.149999999998194,53.26,1.11,0.02
